itemId,supplierId,Cost Price,Supplier SKU
2cee06e6-1ca3-486d-86de-c77169f1190e,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,58.33,30-598-K
747c78ad-e1ef-4a43-92b8-c318f484d16b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-600-BO
45a623ea-e335-468a-b51e-eb880f191203,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-603-C
138da5a0-6b3c-4c14-b45b-c010378d0129,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,15,AI1-30-607-C
61af01c5-f86a-4a0d-84ea-aa445bbff7b9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20.07,0
10e4063a-dfbc-42c8-832d-7e5adabfc710,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20.07,0
2890d47f-b5d5-4765-91f8-35d5bb1b1169,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,20.9,0
2cb9a72f-ef87-41c1-ac7e-f0ba44ebffb5,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,38.86,0
17e70bd7-2bc3-473b-9d94-950408be07ff,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,46.14,0
03d65901-4c32-4ddf-920b-bc90ae3eea80,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,,0
0729e1a2-764c-46a4-a175-0eb9b122f808,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,18.5,0
cf4f65e4-2d5a-4ff5-8e76-3bb177a1c413,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-608-C
1db1fb72-7b8e-4bab-abce-37a3b7257a60,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,50,30-613-C
6f14fedb-f9e6-4dd3-ab80-86f3098a7c05,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-637-C
5f2bf220-5ec2-4d25-8f90-be75508574d2,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-638-C
4b3751fb-6e62-41fa-8e30-fab6e260a659,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-642-C
56ce25db-4773-4a7c-9f91-d8ee73259b28,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-643-C
1e0cd852-aa37-4df3-a531-bf5c64ec141b,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,21.66,30-644-BO
cea52147-aac9-4053-a1cb-718c062a34e4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,23.33,30-645-BO
1674009d-a704-4dc4-a7c7-9f7c63025a75,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.67,30-648-BO
5b739ebe-ef29-4be3-9d16-ed577ab57452,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,60.84,0
5f0e4208-87dc-46ad-94c5-edb5633536b0,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,64.45,0
b0123a2f-15b0-4ee0-abd2-268e4bb2fc26,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,64.45,0
32798f63-bf03-40d9-9a44-695c985b9815,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,67.67,0
12409a7a-5dc4-44bc-aa06-89b2cc60f138,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,79.88,0
adb40e04-5412-4e06-af17-38bb176fc408,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,28.33,30-652-BO
84bf1104-6abc-4616-a703-2cb24b7db5b4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-656-BO
1eb8e129-c54f-47e1-8558-edd984078e13,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-657-BO
6aa64157-a891-4302-9953-d9ac95e43207,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-662-C
a65bf7f4-cbac-4599-b900-9bd18d20fed4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-665-BO
35eed4b7-1b53-448d-8c45-b984aca0df41,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,26.66,30-672-BO
25c25993-4dc2-49af-84e6-21282173038e,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-673-BO
8d0c24c2-f81d-4fec-a932-b6824893af7d,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,48.61,0
1d8bd361-ac51-47a7-b9c1-75d7c9b66f9f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,48.61,0
7f8cff94-dbe7-4165-a153-ad0a00abbada,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,48.61,0
478f3e9a-08c5-4f77-a170-daec3962a223,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,43.33,30-674-BO
3aa4fd2c-b8ce-4283-a4d1-38ac31636c91,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,66.78,0
b396572d-395c-435b-a025-a5096786232f,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,66.78,0
6ba96278-ec91-454f-9b91-427644004d77,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-677-BO
80e9d803-9d35-4763-8c0e-f19a51b31416,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,30,30-681-BO
1b98246a-be21-41a2-a59c-752249a84512,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,43.33,30-688-BO
26c0583c-7f11-4fcf-b0ae-3e6025d22914,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,69.33,0
7b8a461b-9b86-43fc-866b-55ac5e4e06ce,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-693-BO
169304ce-d121-4acd-acbd-9778a4afbd19,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,40,30-696-BO
5de20f9c-c5c9-45dd-b875-54b25662452d,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-697-BO
45861602-acd5-4067-8dd4-803feccf7a8c,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-702-C
782c0bae-22ba-4031-8226-7d2291ab3cb9,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,41.66,30-703-BO
a44a089d-acce-455f-8f6a-d1d096d17d75,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-713-C
8a490e53-4d2f-4dc1-b8cc-4b82ff6a55e4,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,13.33,30-714-C
39dc1ddc-1d03-4a9e-8ad0-71d418d78c97,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,33.33,30-715-C
47a8635a-efa1-49b8-9ce5-ad1b57df1500,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-719-C
dcfc23fd-16d4-4489-b0c2-e796f2120d63,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8,16.66,30-720-C
