itemId                               ,supplierId                                                                       ,cost    ,Quantity
01d1856f-861d-47cc-97bc-91e760fcda4e ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,87.84   ,1
01d1b3e8-02e6-499a-aa39-531ee7823a04 ,1da93033-e7c4-4ee1-9c32-a7d7e3f0ef4b                                             ,1.3     ,1
01d40632-d960-45f0-8f3f-cca0c2db1cfd ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,42.81   ,1
01d6d81d-c2fc-4303-a3fb-1420d10c8371 ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,58.33   ,1
01db5f14-d527-409d-bedf-51f9ca7c5aa0 ,b192a7ca-c398-48df-ae3d-14b44dad2533                                             ,3.33    ,1
01df208e-a78f-477f-880d-f03b364ea82c ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,11.6    ,1
01e35a97-0f1d-47ce-84c0-61ea9340ddc3 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,57.08   ,1
01ea03d4-085d-4801-9d0e-172f36d76259 ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,70.82   ,1
01efc0c3-232a-49de-97f8-c2161dd7b2c6 ,236334d0-fa8b-45f4-9235-536ffb041969                                             ,89.5    ,1
01f537e2-c128-4414-9599-5044270e6c83 ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,8.8     ,1
01f7842e-e04c-41df-83fb-4c365604ded6 ,66863d57-51f4-4f49-bd8d-911ce9ed5dd6                                             ,15.2    ,1
01f8510d-c7f0-45f8-9305-829cc12351fe ,d9ab6cbc-2a2f-4ff4-af32-8c3e0abb716a                                             ,3.75    ,1
01fc1f18-eb2c-4bab-b0b4-a498d0d4a954 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,68.75   ,1
01ff1035-eafc-4762-8b59-bf9d1b0e8d6f ,c7a67874-98d0-45f4-abd2-d803277aebbd                                             ,46      ,1
0202d4f7-39ed-4263-ae7c-97f80c77e5bc ,3845f993-ee87-46f8-b83c-2e0b1fa9c1c8                                             ,66.66   ,1
02051e7c-11bc-4f0c-850b-d6283581b7c3 ,a7138524-d361-45e8-99d8-af481a527b1a                                             ,84.16   ,1
0205538a-1a87-46e0-a350-ec9c2d408427 ,3561bb20-fa7e-44a2-a363-f2904bc1ce49                                             ,83.64   ,1
