itemId,sku,format,status
0126cfaf-7fdf-4b3d-bf86-4bc6df919eb2,AI1-70-585-AG-S,0,1
0126f0fc-aacc-4a9a-b0a0-75d1fafe2411,IN3-18819-TL NKL + CO5-SHALLOW35-S AW ORO SANDSTONE (CHAMP)V,2,1
01280276-951e-4287-8c77-3171ba378c35,PH1-2404749,0,1
01291de0-e08d-4f67-8600-d366f583aed9,CO5-DRUM40-F WOOL FINISH SAGE (STRATHMORE) PENDV,2,0
012a3b04-f63a-43cb-b435-ef3247a99207,LI5-7027884,0,1
012d7420-32a2-4028-b414-5d0cee3e370d,CO5-DRUM60-F FRY DEGAS CRANBERRY (PT KOBE CHACAR BREEN 90) LAMP,0,0
012ee464-106a-4d6f-88a0-475f0a0b6629,AS1-1223010,0,1
0130f964-7c48-4734-80e9-6a50b2ad96bd,EL2-DOUILLE-TL-BPB,0,1
0135bc79-ad5f-457d-93a6-a976ae6a68c4,DA2-OPU4946,0,0
0135db4b-227a-4d73-b032-79b79cb4faf2,DA2-OLY0538,0,1
01373aee-cd3d-4c32-b841-562fabb55c49,CO5-WSHALLOW45-23-W PONG 745 SILVER (MURA GARBO 12101) PEND,0,1
01376d70-13bb-4f04-8e40-a80d62fd7259,AS1-6020005,0,1
0138c5c5-9ba4-4418-a319-289166e80c63,LF1-05225,0,0
013bada2-525f-45dc-b8fe-2744e1b3be2a,CO8-LRR/C/P-1,0,1
013d216a-549f-4e48-8c56-1ea92671f562,SA3-61636,0,1
013d2c0c-fa43-47f1-821e-62f742ef344c,DA2-CAB4212,0,0
013d3f44-38c9-488d-9128-2add529ecc83,UN4-W48BCW,0,1
0140cbe7-bbef-429e-93c6-4d84b4ac2806,AI1-36-025-18WH,0,1
01417ec8-d975-41eb-a12a-18ec681825b8,PO1-2030-5AS,0,1
014592ce-054c-45bd-8d16-6f36d93a9ede,CO6-SAX002,0,1
0146417e-d869-4a71-a183-3b096e544b04,EL2-WESTMINSTER_PN,0,1
014a5046-ff69-4381-adf6-51d4f3b58f76,DA2-ZUT0515-GDV,2,1
014e033e-25c6-47a6-8806-060d362887a6,LF1-05010,0,1
0150f357-f7ce-4af3-b767-2ed7ed8da1a9,LF1-05161,0,0
01526efd-5101-4d70-b321-5dfd1dce433c,IN14-IL30201,0,1
0152ab28-eda7-47a5-bc35-4d08398d4816,PO1-64192,0,1
01561f9e-70a6-4848-985a-7443a656c3cd,EG1-94193,0,1
0156ca8a-236e-4d29-982a-7434b6a44dd1,BE2-04246,0,1
015b5cda-4f24-4494-92fe-56a1ed82e052,CO6-XMX019,0,1
015c9193-149b-4dd3-9375-7e4b564e5810,AI1-70-606-L,0,0
015cfa1d-3520-41a3-9b6a-a3395ce56ee0,PO1-64103,0,1
015d4e51-c7e9-45a3-8e48-4ab1807981fc,IN14-M1401,0,0
015fa90c-c92b-43af-bd9e-84c1193a6dd9,IN14-IL30515,0,1
0160587d-b988-4e4c-9cfc-fcdb890fac03,AI1-40-038,0,0
01620ffa-d8d1-4fd3-b5d1-e4b955a5877b,FR1-FL2420-5/347,0,1
0163fd53-bfa6-43bc-97d4-ec0a043479a9,DA2-ORB0699,0,0
01662db0-4520-404c-b532-babaae337f38,AI1-73-069,0,1
01667bad-a0e0-482f-bbd6-bc0a09f61e7f,CO5-DRUM45-S AW VITTATA LINEN (CHAMP) PEND,0,1
01672369-9afe-43a2-8a92-4563e11dc846,SA3-71553,0,1
01676d07-570a-4c97-84de-5ab66e90372f,CO5-WDRUM55-32-W KOBE CHACAR 49 DRESS BLUE (ANTH SERI EMERALD PEACOCK) LAMP,0,0
016ae42b-e3c7-4ace-a8c7-cf4f40dfe956,IN14-IL30100,0,1
016c776b-7871-4ce5-b5ce-74697ee88d23,EL2-JOB-TL,0,1
016cc00e-876b-4c14-9560-a961efed3320,AS1-1326013,0,1
016e86f0-f39b-4f38-b072-a59fd1472208,BE2-05908,0,1
0174a54a-73fb-4959-a651-765d9b80dc73,PO1-76514,0,1
0175704a-5a1d-4cb6-873e-3874a6c19545,AS1-1187001,0,0
017693d0-74f9-4c76-9c89-81e67d0febee,AS2-BRON120170SHADV,2,1
0177acfc-0e64-4438-848a-c360ec36915b,CO5-WDRUM55-32-W FRY CARNABY PEWTER (ANTH. ENVISION AMETHYST AQUA) LAMP,0,1
017866b2-a3c2-4619-834e-8d3e1206a05c,DA2-NES1750-S,0,1
01796d7b-8ebe-4b9d-82b4-37b10bff03d8,DA2-ALB532,0,0
017a5953-49ab-4289-8905-f269add112b3,UN4-SG44BCB,0,0
017ba02d-979e-4c42-b9fc-4646c4dce20b,UN4-VUEP321,0,0
017e69aa-3f8c-43dd-8012-32441f238b61,DA2-GAR0321,0,1
017e74eb-abc0-4460-ad5b-b44d33c8e0d4,FI1-6005ST,0,1
01806393-bd68-456d-a049-6bd6746163e2,TA1-BL12002,0,1
0181fd6e-7c80-40ff-a31f-5a8690678e51,IN14-D0414,0,1
018287d5-9a78-46a7-8c84-fc836b2cc8ea,CO5-WDRUM55-32-W KOBE CHACAR BREEN 90 (NM MANHATTAN 003) LAMP,0,0
01856e2f-c419-4e4e-aa60-cb18ee48ab6c,UN4-R37ANB,0,0
0187b432-5c49-4b98-874e-5741e45cd6d7,SC3-3PT966A,0,0
0187d7ad-f542-4a56-b8e2-b5b3dbcc715f,EG1-95844,0,1
0187de24-4a6a-46e1-885e-d770fb337881,AI1-36-031-14NL,0,0
018a5b05-a9ac-4d56-9da8-650d784b0f19,FI1-5902AB,0,1
018a8e9f-6d8c-4722-bd0d-e45b5eb2cd57,EG1-32899,0,1
018ba127-d7da-4e95-8d21-80fffe104dbb,CO5-DRUM50-S PAN ALLURE EMERALD (BRUSHED COPPER) LAMP,0,0
018db78d-8930-4a79-a3c0-0a868757ae12,IN14-M4961,0,1
018ddaa9-9df9-45a1-a164-5427b3af89af,KA3-9668/1T BS,0,0
018e3aa2-5e3c-4953-84f0-1905644d1b15,AS1-1058108,0,1
018e7668-b960-4ee4-8c64-7984a36658a4,CO5-OVAL-4-F,0,0
01907740-62a1-42d9-94fa-e67315868bb6,AI1-36-004-16IV,0,1
01914ddd-211d-44dc-823b-1b5553834a9b,AW1-TEJASL41,0,1
